,Frame,Time_Stamp,BS1_coords,BS2_coords,Main_Obj_Coords,Obstacle1,Obstacle2,LOS_BS1,LOS_BS2
0,1,0.01,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(0, 150)",0,1
1,2,0.02,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(0, 150)",0,1
2,3,0.03,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(0, 150)",0,1
3,4,0.04,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(1, 150)",0,1
4,5,0.05,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(1, 150)",0,1
5,6,0.06,"(97, 61)","(202, 164)","(254, 140)","(75, 94)","(1, 150)",0,1
6,7,0.07,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(2, 150)",0,1
7,8,0.08,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(2, 150)",0,1
8,9,0.09,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(2, 150)",0,1
9,10,0.1,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(3, 150)",0,1
10,11,0.11,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(3, 150)",0,1
11,12,0.12,"(97, 61)","(202, 164)","(253, 140)","(75, 94)","(3, 150)",0,1
12,13,0.13,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(4, 150)",0,1
13,14,0.14,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(4, 150)",0,1
14,15,0.15,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(4, 150)",0,1
15,16,0.16,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(5, 150)",0,1
16,17,0.17,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(5, 150)",0,1
17,18,0.18,"(97, 61)","(202, 164)","(252, 140)","(75, 94)","(5, 150)",0,1
18,19,0.19,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(6, 150)",0,1
19,20,0.2,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(6, 150)",0,1
20,21,0.21,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(6, 150)",0,1
21,22,0.22,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(7, 150)",0,1
22,23,0.23,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(7, 150)",0,1
23,24,0.24,"(97, 61)","(202, 164)","(251, 140)","(75, 94)","(7, 150)",0,1
24,25,0.25,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(8, 150)",0,1
25,26,0.26,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(8, 150)",0,1
26,27,0.27,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(8, 150)",0,1
27,28,0.28,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(9, 150)",0,1
28,29,0.29,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(9, 150)",0,1
29,30,0.3,"(97, 61)","(202, 164)","(250, 140)","(75, 94)","(9, 150)",0,1
30,31,0.31,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(10, 150)",0,1
31,32,0.32,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(10, 150)",0,1
32,33,0.33,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(10, 150)",0,1
33,34,0.34,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(11, 150)",0,1
34,35,0.35000000000000003,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(11, 150)",0,1
35,36,0.36,"(97, 61)","(202, 164)","(249, 140)","(75, 94)","(11, 150)",0,1
36,37,0.37,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(12, 150)",0,1
37,38,0.38,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(12, 150)",0,1
38,39,0.39,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(12, 150)",0,1
39,40,0.4,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(13, 150)",0,1
40,41,0.41000000000000003,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(13, 150)",0,1
41,42,0.42,"(97, 61)","(202, 164)","(248, 140)","(75, 94)","(13, 150)",0,1
42,43,0.43,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(14, 150)",0,1
43,44,0.44,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(14, 150)",0,1
44,45,0.45,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(14, 150)",0,1
45,46,0.46,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(15, 150)",0,1
46,47,0.47000000000000003,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(15, 150)",0,1
47,48,0.48,"(97, 61)","(202, 164)","(247, 140)","(75, 94)","(15, 150)",0,1
48,49,0.49,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(16, 150)",0,1
49,50,0.5,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(16, 150)",0,1
50,51,0.51,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(16, 150)",0,1
51,52,0.52,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(17, 150)",0,1
52,53,0.53,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(17, 150)",0,1
53,54,0.54,"(97, 61)","(202, 164)","(246, 140)","(75, 94)","(17, 150)",0,1
54,55,0.55,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(18, 150)",0,1
55,56,0.56,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(18, 150)",0,1
56,57,0.5700000000000001,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(18, 150)",0,1
57,58,0.58,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(19, 150)",0,1
58,59,0.59,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(19, 150)",0,1
59,60,0.6,"(97, 61)","(202, 164)","(245, 140)","(75, 94)","(19, 150)",0,1
60,61,0.61,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(20, 150)",0,1
61,62,0.62,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(20, 150)",0,1
62,63,0.63,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(20, 150)",0,1
63,64,0.64,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(21, 150)",0,1
64,65,0.65,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(21, 150)",0,1
65,66,0.66,"(97, 61)","(202, 164)","(244, 140)","(75, 95)","(21, 150)",0,1
66,67,0.67,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(22, 150)",0,1
67,68,0.68,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(22, 150)",0,1
68,69,0.6900000000000001,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(22, 150)",0,1
69,70,0.7000000000000001,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(23, 150)",0,1
70,71,0.71,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(23, 150)",0,1
71,72,0.72,"(97, 61)","(202, 164)","(243, 140)","(75, 95)","(23, 150)",0,1
72,73,0.73,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(24, 150)",0,1
73,74,0.74,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(24, 150)",0,1
74,75,0.75,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(24, 150)",0,1
75,76,0.76,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(25, 150)",0,1
76,77,0.77,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(25, 150)",0,1
77,78,0.78,"(97, 61)","(202, 164)","(242, 140)","(75, 95)","(25, 150)",0,1
78,79,0.79,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(26, 150)",0,1
79,80,0.8,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(26, 150)",0,1
80,81,0.81,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(26, 150)",0,1
81,82,0.8200000000000001,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(27, 150)",0,1
82,83,0.8300000000000001,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(27, 150)",0,1
83,84,0.84,"(97, 61)","(202, 164)","(241, 140)","(75, 95)","(27, 150)",0,1
84,85,0.85,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(28, 150)",0,1
85,86,0.86,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(28, 150)",0,1
86,87,0.87,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(28, 150)",0,1
87,88,0.88,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(29, 150)",0,1
88,89,0.89,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(29, 150)",0,1
89,90,0.9,"(97, 61)","(202, 164)","(240, 140)","(75, 95)","(29, 150)",0,1
90,91,0.91,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(30, 150)",0,1
91,92,0.92,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(30, 150)",0,1
92,93,0.93,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(30, 150)",0,1
93,94,0.9400000000000001,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(31, 150)",0,1
94,95,0.9500000000000001,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(31, 150)",0,1
95,96,0.96,"(97, 61)","(202, 164)","(239, 140)","(75, 95)","(31, 150)",0,1
96,97,0.97,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(32, 150)",0,1
97,98,0.98,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(32, 150)",0,1
98,99,0.99,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(32, 150)",0,1
99,100,1.0,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(33, 150)",0,1
100,101,1.01,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(33, 150)",0,1
101,102,1.02,"(97, 61)","(202, 164)","(238, 140)","(75, 95)","(33, 150)",0,1
102,103,1.03,"(97, 61)","(202, 164)","(237, 140)","(75, 95)","(34, 150)",0,1
103,104,1.04,"(97, 61)","(202, 164)","(237, 140)","(75, 95)","(34, 150)",0,1
104,105,1.05,"(97, 61)","(202, 164)","(237, 140)","(75, 95)","(34, 150)",0,1
